# device: fullstack_70nm
# benchmark: 10 in docs/04-validation.md
# generated by: tests/regression/devsim_gen/generate_mosfet.py
# generator: devsim 2.11.0 on python 3.14.6
# generated on: 2026-09-15
# tolerance: 0.1
# L_gate: 7.000000e-06
# drain low: 5.000000e-02
# drain high: 1.000000e+00
# substrate_doping: -1.000000e+18
# sd_peak: 1.000000e+20
# x_j: 2.500000e-06
# lateral_diffusion: 1.000000e-06
# t_ox: 2.000000e-07
# sd_length: 4.000000e-05
# contact_length: 2.000000e-05
# t_si: 1.000000e-04
# implant sigma: 8.237628e-07
# implant edge: 6.079115e-07
# devsim silicon nodes: 6930
# devsim h_junction: 8.750000e-08
# devsim h_channel: 1.750000e-07
# devsim h_contact: 4.000000e-06
# devsim h_surface: 6.250000e-09
# devsim h_depth: 2.059407e-07
# devsim oxide cells: 32
# mesh convergence: 9.932e-03 worst relative change in drain current when every spacing is halved, at -0.25 V of gate, with 3 of 21 points skipped as unmeasurable
# notes: Gate length 70 nm at the full Phase 5 model stack, one point of the benchmark 10 trend. The same device as its benchmark 9 sibling and a different set of models, which is what makes the pair worth having: a disagreement that is in both is the geometry, and one that is only here is a mobility model or the statistics.
# models:
#   statistics:      Fermi-Dirac by the Joyce-Dixon series, Nc = 2.860e+19 and Nv = 3.100e+19 cm^-3, series capped at n/Nc = 8
#   transport:       Scharfetter-Gummel in the effective potential psi - V_t ln(gamma), Einstein relation D = V_t * mu
#   mobility:        Arora on the doping, corrected by enhanced Lombardi surface scattering at the node, wrapped in Caughey-Thomas on the edge parallel field with v_sat = 1.070e+07 and 8.300e+06 cm/s and beta = 2 and 1
#   surface term:    frozen within a solve and taken to a fixed point across solves, in both codes
#   source/drain:    ideal ohmic plates on the silicon surface, psi and both densities from neutrality against the degenerate mass action product
#   recombination:   SRH only, no Auger, no band to band, no impact ionisation
#   SRH lifetimes:   Scharfetter, tau = tau_max / (1 + |N| / N_ref), with tau_n_max = 1e-05 s, tau_p_max = 3e-06 s, N_ref = 5e+16 cm^-3
#   SRH trap level:  midgap, n1 = p1 = n_i
#   gate:            ideal metal, Dirichlet on psi at V_gate + (PHI_M_MIDGAP - Phi_M), no poly depletion, no gate overlap
#   oxide:           Poisson only, no carriers, no fixed interface charge
#   body:            ideal ohmic plate over the whole bottom edge, at 0 V
#   constants:       q = 1.602176634e-19 C, k = 1.380649e-23 J/K, eps_0 = 8.8541878128e-14 F/cm, eps_r(Si) = 11.7, eps_r(ox) = 3.9, n_i = 1.000000e+10 cm^-3, T = 300.0 K, chi = 4.05 eV, Eg = 1.124119 eV
# columns: gate bias [V], then drain and source current [A/cm] at the low drain bias and then at the high one
gate_voltage,drain_low,source_low,drain_high,source_high
-0.4,3.302982121062e-10,-5.917969869046e-10,1.082612784330e-09,-2.412268652885e-09
-0.35,2.240476614034e-09,-2.443044418903e-09,1.013265372705e-08,-1.086624391971e-08
-0.3,9.879288037158e-09,-9.876020114521e-09,4.896729130412e-08,-4.984272684323e-08
-0.25,4.457660407678e-08,-4.461635478688e-08,2.254394102651e-07,-2.256577181785e-07
-0.2,2.015825629859e-07,-2.014896198781e-07,1.025271187854e-06,-1.025696089638e-06
-0.15,9.100668206510e-07,-9.101973773066e-07,4.661672392414e-06,-4.662699439283e-06
-0.1,4.110389777675e-06,-4.110203228015e-06,2.118014379530e-05,-2.118108998898e-05
-0.05,1.852951459439e-05,-1.852952946869e-05,9.593866950933e-05,-9.593918212038e-05
0,8.319883729351e-05,-8.319867821183e-05,4.315156665174e-04,-4.315164526670e-04
0.05,3.701599109345e-04,-3.701599466183e-04,1.908587855805e-03,-1.908588699783e-03
0.1,1.610492978192e-03,-1.610493076167e-03,8.082102965706e-03,-8.082103429084e-03
0.15,6.603048419527e-03,-6.603048567881e-03,3.067541954002e-02,-3.067542040205e-02
0.2,2.336355175330e-02,-2.336355155509e-02,9.423592850080e-02,-9.423592935215e-02
0.25,6.325107572580e-02,-6.325107568662e-02,2.222240038003e-01,-2.222240039233e-01
0.3,1.259995178762e-01,-1.259995181419e-01,4.183061173903e-01,-4.183061178320e-01
0.35,1.982903994415e-01,-1.982903993401e-01,6.721980422596e-01,-6.721980427858e-01
0.4,2.693119087635e-01,-2.693119091467e-01,9.714116470654e-01,-9.714116475233e-01
0.45,3.347266194826e-01,-3.347266195170e-01,1.305604165216e+00,-1.305604166292e+00
0.5,3.935684527677e-01,-3.935684526376e-01,1.666949466165e+00,-1.666949467004e+00
0.55,4.460815298126e-01,-4.460815293329e-01,2.049590412861e+00,-2.049590413064e+00
0.6,4.928580534499e-01,-4.928580537215e-01,2.449068752028e+00,-2.449068752226e+00
