# device: rolloff_70nm
# benchmark: 9 in docs/04-validation.md
# generated by: tests/regression/devsim_gen/generate_mosfet.py
# generator: devsim 2.11.0 on python 3.14.6
# generated on: 2026-09-12
# tolerance: 0.1
# L_gate: 7.000000e-06
# drain low: 5.000000e-02
# drain high: 1.000000e+00
# substrate_doping: -1.000000e+18
# sd_peak: 1.000000e+20
# x_j: 2.500000e-06
# lateral_diffusion: 1.000000e-06
# t_ox: 2.000000e-07
# sd_length: 4.000000e-05
# contact_length: 2.000000e-05
# t_si: 1.000000e-04
# implant sigma: 8.237628e-07
# implant edge: 6.079115e-07
# devsim silicon nodes: 6930
# devsim h_junction: 8.750000e-08
# devsim h_channel: 1.750000e-07
# devsim h_contact: 4.000000e-06
# devsim h_surface: 6.250000e-09
# devsim h_depth: 2.059407e-07
# devsim oxide cells: 32
# mesh convergence: 8.019e-03 worst relative change in drain current when every spacing is halved, at -0.2 V of gate, with 4 of 21 points skipped as unmeasurable
# notes: Gate length 70 nm, one point of the benchmark 9 threshold roll-off trend. Not one of benchmarks 6 to 8: those compare a drain current at every bias to 5 or 8 percent, and this one compares an extracted threshold across gate lengths to 10.
# models:
#   statistics:      Boltzmann
#   transport:       Scharfetter-Gummel, Einstein relation D = V_t * mu
#   mobility:        constant, mu_n = 1417.0 and mu_p = 470.0 cm^2/(V s)
#   recombination:   SRH only, no Auger, no band to band, no impact ionisation
#   SRH lifetimes:   Scharfetter, tau = tau_max / (1 + |N| / N_ref), with tau_n_max = 1e-05 s, tau_p_max = 3e-06 s, N_ref = 5e+16 cm^-3
#   SRH trap level:  midgap, n1 = p1 = n_i
#   source/drain:    ideal ohmic plates on the silicon surface, psi from charge neutrality, densities pinned at equilibrium
#   gate:            ideal metal, Dirichlet on psi at V_gate + (PHI_M_MIDGAP - Phi_M), no poly depletion, no gate overlap
#   oxide:           Poisson only, no carriers, no fixed interface charge
#   body:            ideal ohmic plate over the whole bottom edge, at 0 V
#   constants:       q = 1.602176634e-19 C, k = 1.380649e-23 J/K, eps_0 = 8.8541878128e-14 F/cm, eps_r(Si) = 11.7, eps_r(ox) = 3.9, n_i = 1.000000e+10 cm^-3, T = 300.0 K, chi = 4.05 eV, Eg = 1.124119 eV
# columns: gate bias [V], then drain and source current [A/cm] at the low drain bias and then at the high one
gate_voltage,drain_low,source_low,drain_high,source_high
-0.4,5.947494628647e-09,-4.748550340600e-09,3.346176581019e-08,-2.309364501947e-08
-0.35,1.971653504946e-08,-2.124946728391e-08,1.087451729321e-07,-9.641964428778e-08
-0.3,8.354003640266e-08,-8.352810383108e-08,4.355400873864e-07,-4.249432332565e-07
-0.25,3.694732694040e-07,-3.698234846697e-07,1.921942184441e-06,-1.922525704617e-06
-0.2,1.658857028360e-06,-1.658407325823e-06,8.702922354587e-06,-8.693171644223e-06
-0.15,7.478919527884e-06,-7.478199579682e-06,3.946960008654e-05,-3.946104351788e-05
-0.1,3.371066878093e-05,-3.371273305919e-05,1.789544765043e-04,-1.789439450248e-04
-0.05,1.517159793666e-04,-1.517183176021e-04,8.086750680547e-04,-8.086764246430e-04
0,6.796336023320e-04,-6.796366364436e-04,3.625892807670e-03,-3.625880089199e-03
0.05,3.013968149325e-03,-3.013968748106e-03,1.596714087297e-02,-1.596712982545e-02
0.1,1.305371007340e-02,-1.305370976466e-02,6.727834378557e-02,-6.727832703808e-02
0.15,5.325016385670e-02,-5.325016184876e-02,2.554357977096e-01,-2.554357875667e-01
0.2,1.884144949705e-01,-1.884144964193e-01,7.997157544659e-01,-7.997157402367e-01
0.25,5.173193686438e-01,-5.173193686537e-01,1.967155492834e+00,-1.967155487035e+00
0.3,1.059768980400e+00,-1.059768975354e+00,3.912088422396e+00,-3.912088407012e+00
0.35,1.726274005666e+00,-1.726274002294e+00,6.657954366385e+00,-6.657954360502e+00
0.4,2.429579983551e+00,-2.429579983561e+00,1.016569889921e+01,-1.016569888877e+01
0.45,3.125664862779e+00,-3.125664863459e+00,1.437838139184e+01,-1.437838138130e+01
0.5,3.796979332459e+00,-3.796979333180e+00,1.923789016423e+01,-1.923789015075e+01
0.55,4.437513729836e+00,-4.437513731242e+00,2.468978167618e+01,-2.468978148603e+01
0.6,5.046019048520e+00,-5.046019049611e+00,3.068406893883e+01,-3.068406893360e+01
