# device: rolloff_50nm
# benchmark: 9 in docs/04-validation.md
# generated by: tests/regression/devsim_gen/generate_mosfet.py
# generator: devsim 2.11.0 on python 3.14.6
# generated on: 2026-09-12
# tolerance: 0.1
# L_gate: 5.000000e-06
# drain low: 5.000000e-02
# drain high: 1.000000e+00
# substrate_doping: -1.000000e+18
# sd_peak: 1.000000e+20
# x_j: 2.500000e-06
# lateral_diffusion: 1.000000e-06
# t_ox: 2.000000e-07
# sd_length: 4.000000e-05
# contact_length: 2.000000e-05
# t_si: 1.000000e-04
# implant sigma: 8.237628e-07
# implant edge: 6.079115e-07
# devsim silicon nodes: 7062
# devsim h_junction: 6.250000e-08
# devsim h_channel: 1.250000e-07
# devsim h_contact: 4.000000e-06
# devsim h_surface: 6.250000e-09
# devsim h_depth: 2.059407e-07
# devsim oxide cells: 32
# mesh convergence: 1.227e-02 worst relative change in drain current when every spacing is halved, at -0.4 V of gate, with 0 of 21 points skipped as unmeasurable
# notes: Gate length 50 nm, one point of the benchmark 9 threshold roll-off trend. Not one of benchmarks 6 to 8: those compare a drain current at every bias to 5 or 8 percent, and this one compares an extracted threshold across gate lengths to 10.
# models:
#   statistics:      Boltzmann
#   transport:       Scharfetter-Gummel, Einstein relation D = V_t * mu
#   mobility:        constant, mu_n = 1417.0 and mu_p = 470.0 cm^2/(V s)
#   recombination:   SRH only, no Auger, no band to band, no impact ionisation
#   SRH lifetimes:   Scharfetter, tau = tau_max / (1 + |N| / N_ref), with tau_n_max = 1e-05 s, tau_p_max = 3e-06 s, N_ref = 5e+16 cm^-3
#   SRH trap level:  midgap, n1 = p1 = n_i
#   source/drain:    ideal ohmic plates on the silicon surface, psi from charge neutrality, densities pinned at equilibrium
#   gate:            ideal metal, Dirichlet on psi at V_gate + (PHI_M_MIDGAP - Phi_M), no poly depletion, no gate overlap
#   oxide:           Poisson only, no carriers, no fixed interface charge
#   body:            ideal ohmic plate over the whole bottom edge, at 0 V
#   constants:       q = 1.602176634e-19 C, k = 1.380649e-23 J/K, eps_0 = 8.8541878128e-14 F/cm, eps_r(Si) = 11.7, eps_r(ox) = 3.9, n_i = 1.000000e+10 cm^-3, T = 300.0 K, chi = 4.05 eV, Eg = 1.124119 eV
# columns: gate bias [V], then drain and source current [A/cm] at the low drain bias and then at the high one
gate_voltage,drain_low,source_low,drain_high,source_high
-0.4,4.536499133642e-07,-4.520780964058e-07,2.117984483424e-05,-2.118244613697e-05
-0.35,1.657032033767e-06,-1.656210038767e-06,6.823587462994e-05,-6.823894566988e-05
-0.3,6.157683035727e-06,-6.158235784639e-06,2.259242009540e-04,-2.259267565384e-04
-0.25,2.310144566521e-05,-2.310227559187e-05,7.644309984220e-04,-7.644331438380e-04
-0.2,8.711710163381e-05,-8.711734031250e-05,2.626193324666e-03,-2.626193910596e-03
-0.15,3.290586783505e-04,-3.290587645104e-04,9.086761028994e-03,-9.086765521667e-03
-0.1,1.239829385263e-03,-1.239829202124e-03,3.129653906754e-02,-3.129653731242e-02
-0.05,4.631823870507e-03,-4.631824111119e-03,1.051620436048e-01,-1.051620395232e-01
0,1.696973101955e-02,-1.696973167424e-02,3.324479679740e-01,-3.324479721639e-01
0.05,5.957506915193e-02,-5.957507137761e-02,9.363359034033e-01,-9.363359091773e-01
0.1,1.910584319160e-01,-1.910584313635e-01,2.237579619384e+00,-2.237579617362e+00
0.15,5.193955994183e-01,-5.193956016308e-01,4.495846332455e+00,-4.495846334350e+00
0.2,1.126604828647e+00,-1.126604830427e+00,7.802253032781e+00,-7.802253034040e+00
0.25,1.961541617169e+00,-1.961541614439e+00,1.212176525142e+01,-1.212176525131e+01
0.3,2.896798383917e+00,-2.896798380250e+00,1.736821108732e+01,-1.736821108509e+01
0.35,3.837499058553e+00,-3.837499059014e+00,2.344565697530e+01,-2.344565697375e+01
0.4,4.738996799494e+00,-4.738996798295e+00,3.026347770717e+01,-3.026347770792e+01
0.45,5.585585576331e+00,-5.585585576990e+00,3.774004513284e+01,-3.774004513137e+01
0.5,6.374357184583e+00,-6.374357186171e+00,4.580243507941e+01,-4.580243508207e+01
0.55,7.107507009524e+00,-7.107507011755e+00,5.438494550496e+01,-5.438494550573e+01
0.6,7.789048961801e+00,-7.789048962982e+00,6.342736066433e+01,-6.342736066568e+01
